GICLAS131-026         , J000853.9+205026 , elodie:20020117/0010 ,    9   
GICLAS131-026         , J000853.9+205026 , elodie:20020926/0034 ,    4   
GICLAS131-026         , J000853.9+205026 , elodie:20030722/0018 ,    5   
GICLAS131-026         , J000853.9+205026 , elodie:20031022/0014 ,    9   
GICLAS131-026         , J000853.9+205026 , elodie:20040915/0020 ,    3   
GICLAS131-026         , J000853.9+205026 , elodie:20041010/0011 ,    6   
GICLAS131-026         , J000853.9+205026 , elodie:20051120/0019 ,    6   
GJ_1312.6             , J000854.0+205018 , elodie:20050815/0023 ,    6   
HD000432              , J000910.0+590901 , elodie:20011128/0012 ,  265   
HD000432              , J000910.7+590859 , elodie:19990813/0035 ,  330   
HD000432              , J000910.7+590859 , elodie:20040119/0015 ,  354   
HD000471A             , J000915.7+251655 , elodie:20030715/0020 ,   49   
HD000483              , J000919.0+173203 , elodie:19990926/0039 ,   75   
HD000556A             , J001003.0+462325 , elodie:19990817/0024 ,   93   
HD000560              , J001002.0+110845 , elodie:20011125/0018 ,  170   
HD000553              , J001010.0+643848 , elodie:19990817/0022 ,   86   
HD000553              , J001010.0+643848 , elodie:19990818/0023 ,   66   
HD000553              , J001010.0+643848 , elodie:20010117/0008 ,   73   
HD000553              , J001010.0+643848 , elodie:20010119/0008 ,   56   
HD000553              , J001010.0+643848 , elodie:20010120/0011 ,   57   
HD000553              , J001010.0+643848 , elodie:20010121/0011 ,   73   
HD000553              , J001010.0+643848 , elodie:20010121/0016 ,   13   
HD000553              , J001010.0+643848 , elodie:20020124/0006 ,   52   
HD000553              , J001010.0+643848 , elodie:20020126/0011 ,   80   
HD000553              , J001010.0+643848 , elodie:20020127/0011 ,   63   
HD000553              , J001010.0+643848 , elodie:20020128/0016 ,   97   
HD000553              , J001010.0+643848 , elodie:20020804/0020 ,   76   
HD000611              , J001041.0+604821 , elodie:19950121/0012 ,   27   
HD000631              , J001039.1+124913 , elodie:20041222/0007 ,   16   
J001043.5+062708      , J001043.5+062708 , elodie:20021019/0027 ,    6   
J001043.5+062708      , J001043.5+062708 , elodie:20030910/0019 ,    7   
J001043.5+062708      , J001043.5+062708 , elodie:20030911/0016 ,   12   
HD000653              , J001054.2+402729 , elodie:19960205/0008 ,   30   
HD000652              , J001056.0+480637 , elodie:20040731/0025 ,   68   
HD000693              , J001116.0-152802 , elodie:20030929/0033 ,   84   
HD000693              , J001116.0-152802 , elodie:20031105/0050 ,  129   
HD000693              , J001116.0-152800 , elodie:19951104/0014 ,   72   
HD000693              , J001116.0-152751 , elodie:19970828/0022 ,  137   
HD000691              , J001122.4+302658 , elodie:20040730/0024 ,   65   
HD000691              , J001122.4+302658 , elodie:20040801/0021 ,   66   
HD000691              , J001122.4+302658 , elodie:20040806/0032 ,   78   
HD000691              , J001122.4+302658 , elodie:20041222/0008 ,   16   
HD000691              , J001122.4+302658 , elodie:20050803/0022 ,   20   
HD000691              , J001122.4+302658 , elodie:20050828/0021 ,   81   
HD000691              , J001122.4+302658 , elodie:20050829/0018 ,   74   
